Date/Time,Dew Point Temp (C),Rel Hum (%),Stn Press (kPa),Temp (C),Wind Dir (10s deg),Wind Spd (km/h)
2012-01-01 00:00:00,-3.6,88.0,100.79,-1.9,,4.0
2012-01-01 01:00:00,-3.6,88.0,100.79,-1.9,,6.0
2012-01-01 02:00:00,-3.0,90.0,100.82,-1.6,,0.0
2012-01-01 03:00:00,-2.7,91.0,100.82,-1.4,,2.0
2012-01-01 04:00:00,-2.5,91.0,100.81,-1.2,,4.0
2012-01-01 05:00:00,-2.5,90.0,100.84,-1.1,,2.0
2012-01-01 06:00:00,-2.3,92.0,100.85,-1.1,,4.0
2012-01-01 07:00:00,-2.4,92.0,100.82,-1.2,,2.0
2012-01-01 08:00:00,-2.8,90.0,100.79,-1.3,,6.0
2012-01-01 09:00:00,-2.4,90.0,100.77,-1.0,,6.0
2012-01-01 10:00:00,-1.7,94.0,100.72,-0.9,,6.0
2012-01-01 11:00:00,-1.6,94.0,100.56,-0.7,,6.0
2012-01-01 12:00:00,-1.6,91.0,100.39,-0.3,,4.0
2012-01-01 13:00:00,-1.2,90.0,100.18,0.2,,4.0
2012-01-01 14:00:00,-0.9,90.0,99.93,0.5,,7.0
2012-01-01 15:00:00,-0.2,88.0,99.71,1.5,,7.0
2012-01-01 16:00:00,0.5,85.0,99.55,2.8,,4.0
2012-01-01 17:00:00,0.7,84.0,99.43,3.2,,4.0
2012-01-01 18:00:00,1.5,86.0,99.38,3.7,,4.0
2012-01-01 19:00:00,2.3,89.0,99.28,3.9,,7.0
2012-01-01 20:00:00,2.3,91.0,99.13,3.7,,6.0
2012-01-01 21:00:00,2.6,87.0,99.01,4.5,,6.0
2012-01-01 22:00:00,2.8,86.0,98.93,5.0,,7.0
2012-01-01 23:00:00,3.2,89.0,98.92,4.9,,7.0
2012-01-02 00:00:00,2.2,79.0,98.84,5.5,,13.0
2012-01-02 01:00:00,1.4,78.0,98.8,4.9,,15.0
2012-01-02 02:00:00,-0.3,72.0,98.76,4.2,,13.0
2012-01-02 03:00:00,-0.9,72.0,98.83,3.7,,9.0
2012-01-02 04:00:00,-2.0,70.0,98.82,2.9,,9.0
2012-01-02 05:00:00,-2.0,71.0,98.74,2.8,,11.0
2012-01-02 06:00:00,-2.2,73.0,98.75,2.2,,9.0
2012-01-02 07:00:00,-2.3,73.0,98.69,2.1,,13.0
2012-01-02 08:00:00,-2.5,73.0,98.68,1.9,,9.0
2012-01-02 09:00:00,-3.1,69.0,98.69,2.0,,9.0
2012-01-02 10:00:00,-3.4,69.0,98.73,1.6,,13.0
2012-01-02 11:00:00,-3.7,67.0,98.72,1.7,,7.0
2012-01-02 12:00:00,-6.7,54.0,98.78,1.6,,11.0
2012-01-02 13:00:00,-7.9,49.0,98.82,1.6,,7.0
2012-01-02 14:00:00,-7.8,51.0,98.88,1.1,,9.0
2012-01-02 15:00:00,-7.6,55.0,98.98,0.3,,6.0
2012-01-02 16:00:00,-8.7,53.0,99.05,-0.3,,4.0
